"","Row.names","sample_name","Observed","Shannon","InvSimpson","orgname","X16scq","totsum","rspsum","mesocosm","type","stage","sex","date.collected","day","abdomen.length.mm","wing.length","hindleg.length","special","dispersal","temperature","infusion","Wolb_ct1","Wolb_ct2","Act_ct","notes","newday","lib_size","is.neg","lib_size_clean","even","lib_size_trim","PD","SR"
"63","M_D13_SW3_1_S279_L001","M_D13_SW3_1_S279_L001",19,1.63801263106231,3.62571758596643,"M_D13_SW3.1",NA,25173,23183,"SW3.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","SW",NA,NA,NA,"","early",25173,FALSE,25173,0.556307209166896,25173,4.28936776357616,19
"64","M_D13_SW3_2_S280_L001","M_D13_SW3_2_S280_L001",22,1.63277265276217,3.50721218946626,"M_D13_SW3.2",NA,32434,29773,"SW3.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","SW",NA,NA,NA,"","early",32434,FALSE,32434,0.528227184647115,32434,4.32625878371905,22
"65","M_D13_SW3_3_S281_L001","M_D13_SW3_3_S281_L001",17,1.5919231687283,3.51337296849386,"M_D13_SW3.3",NA,23737,21956,"SW3.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","SW",NA,NA,NA,"","early",23737,FALSE,23737,0.561879031124847,23734,4.09582131692797,17
"66","M_D13_SW3_4_S282_L001","M_D13_SW3_4_S282_L001",18,1.50023468105778,3.14825377412227,"M_D13_SW3.4",NA,22840,21259,"SW3.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","SW",NA,NA,NA,"","early",22840,FALSE,22840,0.519045578465577,22840,3.73487831653505,18
"67","M_D13_SW3_5_S283_L001","M_D13_SW3_5_S283_L001",22,1.64830560447434,3.51334939683377,"M_D13_SW3.5",NA,34205,31533,"SW3.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","SW",NA,NA,NA,"","early",34205,FALSE,34205,0.533252334559014,34205,3.80826759351699,22
"68","M_D13_SW3_6_S284_L001","M_D13_SW3_6_S284_L001",20,1.61550284726233,3.4793779780421,"M_D13_SW3.6",NA,29218,27046,"SW3.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","SW",NA,NA,NA,"","early",29218,FALSE,29218,0.539268098662826,29218,3.74324930767501,20
"69","M_D13_SW3_7_S285_L001","M_D13_SW3_7_S285_L001",23,1.65060695632568,3.54773629709526,"M_D13_SW3.7",NA,29584,27389,"SW3.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","SW",NA,NA,NA,"","early",29584,FALSE,29584,0.526426407658529,29584,4.15204296191288,23
"70","M_D13_SW3_8_S286_L001","M_D13_SW3_8_S286_L001",23,1.5697836060902,3.29850699626113,"M_D13_SW3.8",NA,30900,29270,"SW3.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","SW",NA,NA,NA,"","early",30900,FALSE,30900,0.500649498288112,30900,4.42150678927544,23
"71","M_D21_OL1_1_S287_L001","M_D21_OL1_1_S287_L001",24,1.65111370974493,2.79376240465649,"M_D21_OL1.1",NA,21015,18760,"OL1.1","Microbial Water","Water","","9/4/19",20,NA,NA,NA,NA,"N","C","OL",NA,NA,NA,"","mid",21015,FALSE,21015,0.519536105391945,21015,4.53720171454707,24
"72","M_D21_OL1_2_S288_L001","M_D21_OL1_2_S288_L001",28,1.47608497164567,2.17796164056277,"M_D21_OL1.2",NA,29867,27547,"OL1.2","Microbial Water","Water","","9/4/19",20,NA,NA,NA,NA,"N","C","OL",NA,NA,NA,"","mid",29867,FALSE,29867,0.442975503795853,29861,4.4583682561092,28
"73","M_D21_OL1_3_S289_L001","M_D21_OL1_3_S289_L001",27,1.51636185307533,2.26668833645355,"M_D21_OL1.3",NA,33671,30897,"OL1.3","Microbial Water","Water","","9/4/19",20,NA,NA,NA,NA,"D","C","OL",NA,NA,NA,"","mid",33671,FALSE,33671,0.460084013476574,33667,4.30605991445162,27
"74","M_D21_OL1_4_S290_L001","M_D21_OL1_4_S290_L001",27,1.59798478603357,2.43703633813266,"M_D21_OL1.4",NA,30036,27244,"OL1.4","Microbial Water","Water","","9/4/19",20,NA,NA,NA,NA,"D","C","OL",NA,NA,NA,"","mid",30036,FALSE,30036,0.484849478600217,30036,4.37206352877813,27
"75","M_D21_OL1_5_S291_L001","M_D21_OL1_5_S291_L001",27,1.86210561461489,3.25803974680071,"M_D21_OL1.5",NA,29524,25436,"OL1.5","Microbial Water","Water","","9/4/19",20,NA,NA,NA,NA,"N","H","OL",NA,NA,NA,"","mid",29524,FALSE,29524,0.564987191514851,29511,4.16394271943275,27
"76","M_D21_OL1_6_S292_L001","M_D21_OL1_6_S292_L001",27,1.73976566356725,2.94837822027688,"M_D21_OL1.6",NA,29723,26542,"OL1.6","Microbial Water","Water","","9/4/19",20,NA,NA,NA,NA,"N","H","OL",NA,NA,NA,"","mid",29723,FALSE,29723,0.527867650705792,29723,4.45692392422966,27
"77","M_D21_OL1_7_S293_L001","M_D21_OL1_7_S293_L001",27,1.6891005642167,2.66121693642083,"M_D21_OL1.7",NA,30401,27154,"OL1.7","Microbial Water","Water","","9/4/19",20,NA,NA,NA,NA,"D","H","OL",NA,NA,NA,"","mid",30401,FALSE,30401,0.512495197089188,30399,4.25093538118312,27
